SATNAME,LAUNCH
DELTA 1 DEB (YO),12/07/1961
MIDAS 3,12/07/1961
MIDAS 3 DEB,12/07/1961
MIDAS 3 DEB,12/07/1961
MIDAS 3 DEB,12/07/1961
MIDAS 3 DEB,12/07/1961
MIDAS 3 DEB,12/07/1961
VOSTOK 2,6/08/1961
SL-3 R/B,6/08/1961
EXPLORER 12,15/08/1961
RANGER 1,23/08/1961
ATLAS AGENA B R/B,23/08/1961
EXPLORER 13,25/08/1961
DISCOVERER 29,30/08/1961
DISCOVERER 30,12/09/1961
DISCOVERER 30 DEB,12/09/1961
DISCOVERER 30 DEB,12/09/1961
MERCURY ATLAS 4,13/09/1961
ATLAS D R/B,13/09/1961
DISCOVERER 31,17/09/1961
DISCOVERER 32,13/10/1961
DISCOVERER 32 DEB,13/10/1961
DISCOVERER 32 DEB,13/10/1961
MIDAS 4,21/10/1961
MIDAS 4 DEB (NOSECONE),21/10/1961
MIDAS 4 DEB,21/10/1961
MIDAS 4 DEB,21/10/1961
MIDAS 4 DEB,21/10/1961
MIDAS 4 DEB,21/10/1961
MIDAS 4 DEB,21/10/1961
MIDAS 4 DEB,21/10/1961
MIDAS 4 DEB,21/10/1961
MIDAS 4 DEB,21/10/1961
MIDAS 4 DEB,21/10/1961
MIDAS 4 DEB,21/10/1961
MIDAS 4 DEB,21/10/1961
DISCOVERER 34,5/11/1961
DISCOVERER 34 DEB,5/11/1961
DISCOVERER 34 DEB,5/11/1961
DISCOVERER 34 DEB,5/11/1961
DISCOVERER 34 DEB,5/11/1961
DISCOVERER 35,15/11/1961
DISCOVERER 35 DEB,15/11/1961
TRANSIT 4B,15/11/1961
TRAAC,15/11/1961
THOR ABLESTAR R/B,15/11/1961
TRAAC DEB,15/11/1961
RANGER 2,18/11/1961
MERCURY ATLAS 5,29/11/1961
ATLAS D 5 R/B,29/11/1961
DISCOVERER 36,12/12/1961
OSCAR 1,12/12/1961
DISCOVERER 36 CAPSULE,12/12/1961
SAMOS 5,22/12/1961
ATLAS AGENA B R/B,22/12/1961
SAMOS 5 DEB (REFLECTOR),22/12/1961
RANGER 3,26/01/1962
ATLAS AGENA B R/B,26/01/1962
TIROS 4,8/02/1962
DELTA 1 DEB (YO),8/02/1962
DELTA 1 DEB (YO),8/02/1962
DELTA 1 R/B,8/02/1962
DELTA 1 DEB,8/02/1962
MERCURY ATLAS 6,20/02/1962
ATLAS D R/B,20/02/1962
FTV 2301,21/02/1962
DISCOVERER 38,27/02/1962
DISCOVERER 38 DEB,27/02/1962
DISCOVERER 38 DEB,27/02/1962
DISCOVERER 38 DEB,27/02/1962
OSO 1,7/03/1962
DELTA 1 R/B,7/03/1962
SAMOS 6,7/03/1962
SAMOS 6 DEB (REFLECTOR),7/03/1962
ATLAS AGENA B R/B,7/03/1962
COSMOS 1 (SPUTNIK 11),16/03/1962
SL-7 R/B,16/03/1962
COSMOS 2 (SPUTNIK 12),6/04/1962
SL-7 R/B,6/04/1962
MIDAS 5 (STRONGBACK),9/04/1962
MIDAS 5 DEB,9/04/1962
MIDAS 5 DEB,9/04/1962
MIDAS 5 DEB,9/04/1962
MIDAS 5 DEB,9/04/1962
MIDAS 5 DEB,9/04/1962
MIDAS 5 DEB,9/04/1962
MIDAS 5 DEB,26/10/1962
FTV 1154,18/04/1962
FTV 1154 DEB,18/04/1962
FTV 1154 DEB,18/04/1962
FTV 1154 DEB,18/04/1962
RANGER 4,23/04/1962
ATLAS AGENA B R/B,23/04/1962
COSMOS 3 (SPUTNIK 13),24/04/1962
SL-7 R/B,24/04/1962
COSMOS 4 (SPUTNIK 14),26/04/1962
SL-3 R/B,26/04/1962
SL-3 DEB,26/04/1962
ARIEL 1 (UK-1),26/04/1962
DELTA 1 R/B,26/04/1962
SAMOS 7 (FTV 2401),26/04/1962
FTV 1125,28/04/1962
FTV 1125 DEB,28/04/1962
FTV 1126,15/05/1962
FTV 1126 DEB,15/05/1962
FTV 1126 DEB,15/05/1962
MERCURY ATLAS 7,24/05/1962
ATLAS D 7 R/B,24/05/1962
COSMOS 5 (SPUTNIK 15),28/05/1962
SL-7 R/B,28/05/1962
FTV 1128,30/05/1962
FTV 1128 DEB,30/05/1962
FTV 1127,2/06/1962
OSCAR 2,2/06/1962
